id,breed
pentagon-750,pentagon
cross-979,cross
triangle-4369,triangle
trapezoid-1208,trapezoid
circle-949,circle
trapezoid-1572,trapezoid
star-883,star
triangle-3974,triangle
square-5894,square
octagon-3981,octagon
triangle-3904,triangle
rectangle-3426,rectangle
star-3781,star
rectangle-4703,rectangle
rectangle-4614,rectangle
cross-1994,cross
square-744,square
trapezoid-3426,trapezoid
square-4826,square
cross-1162,cross
triangle-3524,triangle
pentagon-3151,pentagon
cross-1438,cross
square-5836,square
trapezoid-3107,trapezoid
trapezoid-2267,trapezoid
heptagon-621,heptagon
trapezoid-2133,trapezoid
trapezoid-1708,trapezoid
rectangle-2757,rectangle
rectangle-1687,rectangle
octagon-3798,octagon
trapezoid-2637,trapezoid
pentagon-251,pentagon
square-4752,square
rectangle-5000,rectangle
star-552,star
trapezoid-1850,trapezoid
semi_circle-3798,semi_circle
star-2685,star
pentagon-3141,pentagon
hexagon-999,hexagon
rectangle-2403,rectangle
star-3460,star
semi_circle-955,semi_circle
quarter_circle-454,quarter_circle
square-6363,square
octagon-3978,octagon
rectangle-154,rectangle
square-5925,square
triangle-882,triangle
heptagon-748,heptagon
cross-402,cross
triangle-1558,triangle
square-4421,square
pentagon-4338,pentagon
rectangle-3009,rectangle
square-818,square
square-2945,square
heptagon-573,heptagon
octagon-2716,octagon
octagon-4563,octagon
hexagon-184,hexagon
semi_circle-4058,semi_circle
quarter_circle-422,quarter_circle
square-4591,square
semi_circle-2133,semi_circle
cross-723,cross
square-5719,square
trapezoid-1729,trapezoid
rectangle-4461,rectangle
cross-1613,cross
rectangle-1741,rectangle
triangle-1179,triangle
octagon-4036,octagon
trapezoid-3446,trapezoid
triangle-2277,triangle
trapezoid-2777,trapezoid
hexagon-1484,hexagon
pentagon-2430,pentagon
semi_circle-2713,semi_circle
hexagon-202,hexagon
octagon-753,octagon
square-5984,square
cross-1640,cross
octagon-2687,octagon
hexagon-842,hexagon
triangle-2936,triangle
rectangle-2195,rectangle
trapezoid-1041,trapezoid
square-2200,square
semi_circle-2960,semi_circle
circle-942,circle
trapezoid-2329,trapezoid
cross-1823,cross
octagon-196,octagon
pentagon-2102,pentagon
circle-1110,circle
rectangle-3969,rectangle
square-6770,square
circle-1213,circle
square-383,square
square-1133,square
triangle-1391,triangle
square-4767,square
circle-1552,circle
star-1302,star
pentagon-4108,pentagon
circle-1847,circle
heptagon-239,heptagon
triangle-168,triangle
semi_circle-310,semi_circle
circle-729,circle
star-2456,star
square-6615,square
semi_circle-2337,semi_circle
heptagon-730,heptagon
circle-396,circle
trapezoid-1975,trapezoid
semi_circle-1534,semi_circle
trapezoid-4417,trapezoid
square-4379,square
triangle-2229,triangle
rectangle-4975,rectangle
cross-405,cross
triangle-2528,triangle
star-805,star
trapezoid-2321,trapezoid
triangle-4321,triangle
octagon-3993,octagon
pentagon-1196,pentagon
star-1909,star
octagon-221,octagon
pentagon-3096,pentagon
triangle-87,triangle
cross-211,cross
square-5484,square
pentagon-5101,pentagon
octagon-1561,octagon
star-1099,star
heptagon-1263,heptagon
triangle-1991,triangle
triangle-3487,triangle
triangle-1823,triangle
circle-173,circle
rectangle-853,rectangle
trapezoid-604,trapezoid
rectangle-1456,rectangle
triangle-3269,triangle
triangle-879,triangle
octagon-3770,octagon
triangle-1829,triangle
rectangle-3222,rectangle
square-1592,square
rectangle-1261,rectangle
semi_circle-3927,semi_circle
star-3868,star
square-1964,square
star-2053,star
square-2655,square
triangle-4268,triangle
heptagon-1155,heptagon
octagon-1935,octagon
pentagon-669,pentagon
octagon-2781,octagon
hexagon-741,hexagon
semi_circle-1682,semi_circle
star-3367,star
pentagon-4176,pentagon
pentagon-1475,pentagon
cross-32,cross
star-1219,star
heptagon-949,heptagon
square-2505,square
triangle-1165,triangle
semi_circle-2801,semi_circle
triangle-3176,triangle
square-5900,square
rectangle-1876,rectangle
semi_circle-4488,semi_circle
square-6330,square
octagon-2549,octagon
hexagon-953,hexagon
square-3571,square
trapezoid-2948,trapezoid
cross-1247,cross
trapezoid-3821,trapezoid
triangle-768,triangle
rectangle-4809,rectangle
heptagon-1446,heptagon
circle-483,circle
octagon-382,octagon
star-3787,star
triangle-1730,triangle
trapezoid-3850,trapezoid
semi_circle-2302,semi_circle
triangle-2026,triangle
trapezoid-1849,trapezoid
semi_circle-1551,semi_circle
cross-1865,cross
triangle-71,triangle
cross-1238,cross
circle-1140,circle
trapezoid-3314,trapezoid
cross-1312,cross
star-2072,star
semi_circle-3269,semi_circle
square-2833,square
